country,ign,team_name_full,shorthand,sub_region,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
Belarus,7ssk7,NASR Esports,NASR,Levant and North Africa,3,Flash,Breach,Skye,Fade,33,459,370,321,1.24,2.1,192,13.9,11.2,9.7,Russian,Belarusian,
Poland,999kvmil,Ex0Tik Gaming,EX0,Portugal,3,Flex,Fade,Raze,Yoru,21,281,282,79,0.99,1.27,203,13.3,13.4,3.7,Polish,,
Palestine,A1mly,Underground Gaming,UG,GCC and Iraq,3,Lurker,Killjoy,Cypher,Yoru,34,476,489,108,0.97,1.19,190,14.0,14.3,3.1,Arabic,,
Algeria,ACHRF,Onyx Ravens,OXR,Levant and North Africa,4,Flash,Gekko,Sova,Skye,33,471,463,213,1.01,1.47,196,14.2,14.0,6.4,Arabic,French,
France,AKUMAAAAA,Mandatory,MDR,France,4,Smoker,Omen,KAY/O,Harbor,26,435,397,176,1.09,1.53,223,16.7,15.2,6.7,French,,
Israel,ALIVE,Acend,ACE,East EMEA,3,Entry,Jett,Raze,,36,591,550,137,1.07,1.32,214,16.4,15.2,3.8,Hebrew,,
Russia,ANXiOS,trashcan,TR,East EMEA,4,Recon,Skye,Omen,KAY/O,34,334,517,324,0.64,1.27,147,9.8,15.2,9.5,Russian,,
Netherlands,APHUN,SweetNSour,SNS,North EMEA,2,Lurker,Omen,Cypher,,4,83,59,31,1.4,1.93,256,20.7,14.7,7.7,Dutch,,
France,APO,Solary,SLY,France,7,Recon,Sova,Fade,Skye,19,283,316,133,0.89,1.31,183,14.8,16.6,7.0,French,,
Italy,ASTER,RTZN,RTZN,Italy,7,Recon,KAY/O,Breach,Fade,13,159,203,95,0.78,1.25,162,12.2,15.6,7.3,Italian,,
Portugal,Addicted,SAW,SAW,Portugal,1,Recon,Sova,Gekko,Deadlock,22,321,242,139,1.32,1.9,208,14.5,11.0,6.3,Portuguese,Mirandese,
United Arab Emirates,Akai,Team Falcons,FLC,GCC and Iraq,1,Entry,Raze,Jett,Reyna,33,692,450,112,1.53,1.78,297,20.9,13.6,3.3,Arabic,,
Portugal,Akira,PPP,PPP,Portugal,2,Recon,Sova,Omen,Fade,24,294,292,191,1.0,1.66,192,12.2,12.1,7.9,Portuguese,Mirandese,
Sweden,Ale,OnlyFins,OF,North EMEA,4,Entry,Raze,Jett,Neon,27,443,395,122,1.12,1.43,225,16.4,14.6,4.5,Swedish,,
Czechia,Ambi,Valiant,VLNT,France,2,Flash,KAY/O,Breach,Deadlock,25,366,368,216,0.99,1.58,197,14.6,14.7,8.6,French,Czech,
Portugal,AndreSG,FUZOS,FUZO,Portugal,7,Recon,Omen,Sova,Fade,13,137,223,112,0.61,1.11,142,10.5,17.1,8.6,Portuguese,Mirandese,
Turkey,Anima,HOWL Esports,HOWL,Turkey,2,Recon,Skye,KAY/O,Fade,34,476,462,349,1.03,1.78,190,14.0,13.5,10.2,Turkish,,
Russia,Anq,VX300 Gaming,VX3,Italy,5,Entry,Raze,Jett,,9,128,117,19,1.09,1.25,204,14.2,13.0,2.1,Italian,Russian,
Saudi Arabia,Antigon,Vision Esports,VIS,GCC and Iraq,8,Entry,Jett,Sova,,6,55,93,24,0.59,0.84,129,9.1,15.5,4.0,Arabic,,
Netherlands,Apyr,VX300 Gaming,VX3,Italy,5,Flex,Yoru,Raze,Jett,3,36,54,15,0.66,0.94,166,12.0,18.0,5.0,Italian,Dutch,
Spain,Aqua,Ex0Tik Gaming,EX0,Portugal,3,Flash,Breach,Sova,Omen,21,204,284,153,0.71,1.25,149,9.7,13.5,7.2,Spanish,,
Turkey,AsLanM4shadoW,S2G Esports,S2G,Turkey,7,Smoker,Omen,Jett,Brimstone,5,74,84,27,0.88,1.2,203,14.8,16.8,5.4,Turkish,,
Denmark,AvovA,Apeks,APK,North EMEA,1,Smoker,Omen,Viper,Brimstone,22,319,251,156,1.27,1.89,203,14.5,11.4,7.0,Danish,English,
Saudi Arabia,Avvix,The Ultimates,TU,GCC and Iraq,4,Recon,Sova,Killjoy,Gekko,32,490,442,201,1.1,1.56,205,15.3,13.8,6.2,Arabic,,
Slovakia,Ayyzicle,LONETEAM,LONE,Italy,6,Flash,Gekko,Breach,Killjoy,14,169,194,78,0.87,1.27,163,12.0,13.8,5.5,Italian,Slovak,
Russia,B1SK,KPI Gaming,KPI,EMEA Playins,2,Entry,Jett,Chamber,Sova,10,167,136,24,1.22,1.4,213,16.7,13.6,2.4,Russian,,
Germany,B3ASTM0D3,Ovation eSports,OVA,DACH,10,Smoker,Omen,Viper,Brimstone,21,248,299,99,0.82,1.16,166,11.8,14.2,4.7,German,,
Turkey,BALLI,HGE Esports,HE,Italy,4,Recon,Sova,KAY/O,Clove,17,301,243,106,1.23,1.67,240,17.7,14.2,6.2,Italian,Turkish,
Egypt,BLACK,Team Occupy,OPY,Levant and North Africa,6,Smoker,Omen,Reyna,Viper,31,415,466,179,0.89,1.27,180,13.3,15.0,5.7,Arabic,,
Poland,BULD,GoNext Esports,GN,East EMEA,1,Anchor,Sage,Breach,Sova,31,423,395,228,1.07,1.64,189,13.6,12.7,7.3,Polish,,
France,Babax,ZERANCE,ZER,France,3,Smoker,Omen,Brimstone,Harbor,26,313,353,207,0.88,1.47,170,12.0,13.5,7.9,French,,
Turkey,Bard0lf,NOM Esports,NOM,East EMEA,7,Smoker,Omen,Viper,,21,370,353,146,1.04,1.46,224,17.6,16.8,6.9,Turkish,,
Germany,BennY,CGN Esports,CGN,EMEA Playins,1,Entry,Phoenix,Gekko,,10,117,125,48,0.93,1.32,156,11.7,12.5,4.8,German,,
Russia,Bgg,R8 Esports,R8,Levant and North Africa,1,Smoker,Omen,Viper,Brimstone,40,533,515,250,1.03,1.52,183,13.3,12.8,6.2,Russian,,
Egypt,Block,Gamax Esports,GMX,Levant and North Africa,5,Flash,Breach,KAY/O,Fade,20,191,275,192,0.69,1.39,129,9.5,13.7,9.6,Arabic,,
Netherlands,Bouncy,LONETEAM,LONE,Italy,6,Entry,Raze,,,1,8,16,1,0.5,0.56,121,8.0,16.0,1.0,Italian,Dutch,
Syria,Br1ckzl,Vision Esports,VIS,GCC and Iraq,8,Entry,Raze,Omen,Jett,4,61,63,18,0.96,1.25,215,15.2,15.7,4.5,Arabic,,
Italy,Braso,HGE Esports,HE,Italy,4,Anchor,Killjoy,Chamber,Cypher,17,294,281,58,1.04,1.25,219,17.2,16.5,3.4,Italian,,
Italy,Brio,Axolotl,AXL,Italy,8,Flash,Gekko,,,2,15,33,6,0.45,0.63,122,7.5,16.5,3.0,Italian,,
Italy,Browse,LONETEAM,LONE,Italy,6,Anchor,Killjoy,Cypher,Sage,13,192,192,42,1.0,1.21,202,14.7,14.7,3.2,Italian,,
Finland,Brädi,Apinaorkesteri,APE,North EMEA,8,Flash,Breach,Deadlock,KAY/O,19,222,308,157,0.72,1.23,157,11.6,16.2,8.2,Finnish,Swedish,
United Kingdom,Bully,NXT,NXT,North EMEA,5,Smoker,Omen,Brimstone,Killjoy,20,262,300,182,0.87,1.48,180,13.1,15.0,9.1,English,,
Italy,Byron,HGE Esports,HE,Italy,4,Smoker,Omen,Viper,,17,249,225,151,1.1,1.77,194,14.6,13.2,8.8,Italian,,
Germany,CALVIN S,XPERION NXT,NXT,DACH,9,Smoker,Omen,Sova,Brimstone,20,276,330,124,0.83,1.21,171,13.8,16.5,6.2,German,,
Portugal,CORONEL,Impulse Gaming Warriors,IGW,Portugal,4,Smoker,Omen,Viper,Brimstone,18,254,223,138,1.13,1.75,195,14.1,12.3,7.6,Portuguese,Mirandese,
Brazil,Caim,GTZ Esports,GTZ,Portugal,5,Entry,Raze,Jett,,14,229,221,64,1.03,1.32,225,16.3,15.7,4.5,Portuguese,,
United Kingdom,Cal,GTZ Esports,GTZ,Portugal,5,Recon,Fade,Yoru,Brimstone,9,124,151,74,0.82,1.31,186,13.7,16.7,8.2,English,,
Turkey,Celasun,Pcific Esports,PCF,Turkey,1,Anchor,Cypher,Killjoy,Gekko,34,464,482,137,0.96,1.24,178,13.6,14.1,4.0,Turkish,,
Hungary,Chadi,NOM Esports,NOM,East EMEA,7,Entry,Raze,Jett,,23,416,366,66,1.13,1.31,227,18.0,15.9,2.8,Hungarian,,
United Kingdom,Chanformer,NXT,NXT,North EMEA,5,Lurker,Cypher,Viper,Astra,18,261,236,107,1.1,1.55,198,14.5,13.1,5.9,English,,
Norway,Cintyx,Axolotl,AXL,Italy,8,Anchor,Killjoy,,,2,18,27,4,0.66,0.81,144,9.0,13.5,2.0,Italian,Norwegian,
Germany,Click,SK Gaming,SK,DACH,7,Entry,Jett,Clove,Raze,20,394,344,54,1.14,1.3,243,19.7,17.2,2.7,German,,
Turkey,ComeBack,Pcific Esports,PCF,Turkey,1,Entry,Jett,Raze,Chamber,34,642,547,106,1.17,1.36,257,18.8,16.0,3.1,Turkish,,
Sweden,Creamydreamy,SweetNSour,SNS,North EMEA,2,Recon,KAY/O,Fade,Skye,29,429,428,318,1.0,1.74,188,14.7,14.7,10.9,Swedish,,
Turkey,Crewen,HOWL Esports,HOWL,Turkey,2,Anchor,Cypher,Killjoy,Viper,34,520,509,175,1.02,1.36,196,15.2,14.9,5.1,Turkish,,
Portugal,Cunha20,SAW,SAW,Portugal,1,Smoker,Omen,Viper,Brimstone,22,286,253,201,1.13,1.92,173,13.0,11.5,9.1,Portuguese,Mirandese,
Turkey,CyderX,Galatasaray Esports,GS,Turkey,4,Recon,Sova,Gekko,Fade,27,330,383,168,0.86,1.3,151,12.2,14.1,6.2,Turkish,,
France,CyvOph,Mandatory,MDR,France,4,Entry,Raze,Sage,KAY/O,15,262,224,101,1.16,1.62,240,17.4,14.9,6.7,French,,
Turkey,DESTRUCT1VEE,Galakticos,GAL,Turkey,3,Lurker,Omen,Viper,Cypher,35,512,528,214,0.96,1.37,184,14.6,15.0,6.1,Turkish,,
Czechia,Danda,trashcan,TR,East EMEA,4,Smoker,Sova,Omen,Brimstone,34,445,477,242,0.93,1.44,181,13.0,14.0,7.1,Czech,,
Saudi Arabia,Dane,Twisted Minds,TWIS,GCC and Iraq,6,Recon,KAY/O,Skye,Sova,36,559,586,257,0.95,1.39,203,15.5,16.2,7.1,Arabic,,
Spain,Daniel0,Ramboot Club,RBT,Spain,4,Anchor,Killjoy,,,2,20,35,5,0.57,0.71,133,10.0,17.5,2.5,Spanish,,
France,DarkLight,Solary,SLY,France,7,Smoker,Omen,Viper,Brimstone,19,265,309,152,0.85,1.34,176,13.9,16.2,8.0,French,,
Egypt,Darwin,top gz,TOPG,Levant and North Africa,7,Recon,Sova,Fade,Gekko,22,236,343,122,0.68,1.04,163,10.7,15.5,5.5,Arabic,,
Germany,Daveeski,Permitta Unicorns,PXU,DACH,8,Anchor,Killjoy,Breach,Cypher,20,285,337,117,0.84,1.19,194,14.2,16.8,5.8,German,,
Portugal,DaviH,CGN Esports,CGN,EMEA Playins,1,Recon,Sova,Deadlock,,10,134,115,74,1.16,1.8,189,13.4,11.5,7.4,Portuguese,Mirandese,
Italy,Davia,VX300 Gaming,VX3,Italy,5,Entry,Raze,,,1,19,16,6,1.18,1.56,267,19.0,16.0,6.0,Italian,,
Saudi Arabia,Dazlly,Vision Esports,VIS,GCC and Iraq,8,Anchor,Cypher,Killjoy,Deadlock,21,299,335,84,0.89,1.14,202,14.2,15.9,4.0,Arabic,,
Turkey,DeadInk,Fenerbahçe Esports,FB,Turkey,10,Entry,Jett,Raze,Gekko,21,285,340,69,0.83,1.04,194,13.5,16.1,3.2,Turkish,,
Sweden,Demiurge,Formulation Gaming,FMG,North EMEA,7,Entry,Raze,Neon,Jett,17,297,289,74,1.02,1.28,233,17.4,17.0,4.3,Swedish,,
Egypt,Depyro,Team RA'AD,RAAD,Levant and North Africa,2,Flash,Sage,Skye,Breach,37,554,523,328,1.05,1.68,205,14.9,14.1,8.8,Arabic,,
United Kingdom,Deqadz,Requiem,RQM,North EMEA,3,Smoker,Omen,Viper,Harbor,28,393,409,221,0.96,1.5,192,14.0,14.6,7.8,English,,
United Kingdom,Dev0,NXT,NXT,North EMEA,5,Entry,Raze,Jett,KAY/O,20,325,314,112,1.03,1.39,219,16.2,15.7,5.6,English,,
Slovakia,Dext,Ex0Tik Gaming,EX0,Portugal,3,Lurker,Killjoy,Omen,Viper,21,268,307,77,0.87,1.12,185,12.7,14.6,3.6,Slovak,,
Turkey,Docent,Galatasaray Esports,GS,Turkey,4,Smoker,Omen,Viper,Astra,27,430,427,223,1.0,1.52,204,15.9,15.8,8.2,Turkish,,
Italy,DrastZ,VX300 Gaming,VX3,Italy,5,Recon,KAY/O,Omen,Sage,13,179,179,99,1.0,1.55,202,13.7,13.7,7.6,Italian,,
Ireland,Drog,Apinaorkesteri,APE,North EMEA,8,Anchor,Cypher,Sova,Killjoy,19,277,303,62,0.91,1.11,183,14.5,15.9,3.2,English,,
Portugal,DroperZ,FUZOS,FUZO,Portugal,7,Recon,Skye,Killjoy,,2,35,38,10,0.92,1.18,188,17.5,19.0,5.0,Portuguese,Mirandese,
Spain,Ease,Onyx Ravens,OXR,Levant and North Africa,4,Flash,Sage,Breach,Skye,33,452,446,299,1.01,1.68,179,13.6,13.5,9.0,Spanish,,
United Arab Emirates,Ebeeee,Fraggerz,FRG,GCC and Iraq,5,Smoker,Omen,Viper,,28,340,415,194,0.81,1.28,164,12.1,14.8,6.9,Arabic,,
Russia,Edelweiss,FUZOS,FUZO,Portugal,7,Flash,Gekko,KAY/O,Fade,3,25,48,18,0.52,0.89,131,8.3,16.0,6.0,Russian,,
Egypt,Electus,Team Occupy,OPY,Levant and North Africa,6,Recon,Skye,Sova,,31,349,458,170,0.76,1.13,160,11.2,14.7,5.4,Arabic,,
Saudi Arabia,Elixllo,The Ultimates,TU,GCC and Iraq,4,Lurker,Viper,Cypher,Killjoy,35,482,503,162,0.95,1.28,183,13.7,14.3,4.6,Arabic,,
Bulgaria,Eso177,Onyx Ravens,OXR,Levant and North Africa,4,Anchor,Killjoy,Cypher,Chamber,33,557,439,132,1.26,1.56,225,16.8,13.3,4.0,Bulgarian,,
Saudi Arabia,ExiT,Twisted Minds,TWIS,GCC and Iraq,6,Entry,Jett,Raze,Killjoy,36,595,548,150,1.08,1.35,221,16.5,15.2,4.1,Arabic,,
Finland,Famsii,UCAM Esports Club,UCAM,Spain,2,Entry,Raze,Neon,Jett,21,377,302,109,1.24,1.6,266,17.9,14.3,5.1,Spanish,Finnish,Swedish
Ireland,Famzzam,SweetNSour,SNS,North EMEA,2,Flash,Gekko,Viper,Sova,29,393,434,225,0.9,1.42,177,13.5,14.9,7.7,English,,
Spain,Faska,ZETA (Spanish team),ZETA,Spain,7,Recon,Cypher,Skye,Sova,14,158,209,51,0.75,1.0,161,11.2,14.9,3.6,Spanish,,
Finland,Feeqn,OnlyFins,OF,North EMEA,4,Anchor,Killjoy,Cypher,Brimstone,27,368,375,116,0.98,1.29,188,13.6,13.8,4.2,Finnish,Swedish,
Germany,Felix,SK Gaming,SK,DACH,7,Recon,Gekko,Sova,Fade,20,286,297,143,0.96,1.44,195,14.3,14.8,7.1,German,,
Saudi Arabia,Fighter,The Ultimates,TU,GCC and Iraq,4,Entry,Raze,Jett,Omen,35,564,561,173,1.0,1.31,216,16.1,16.0,4.9,Arabic,,
Poland,Filu,DSYRE,DSY,Italy,1,Entry,Jett,Raze,Neon,19,383,257,67,1.49,1.75,274,20.1,13.5,3.5,Italian,Polish,
Portugal,Fizzy,MOUZ,MOUZ,DACH,1,Anchor,Cypher,Viper,Killjoy,38,649,556,176,1.16,1.48,209,17.0,14.6,4.6,Portuguese,Mirandese,
Belgium,Flickless,UCAM Esports Club,UCAM,Spain,2,Flash,Breach,Brimstone,KAY/O,21,280,237,229,1.18,2.14,193,13.3,11.2,10.9,Spanish,Dutch,French
United Kingdom,FoxieGG,DVM,DVM,France,8,Recon,Fade,Sova,Skye,19,226,281,114,0.8,1.2,172,11.8,14.7,6.0,French,English,
Saudi Arabia,Fr4nky,Twisted Minds,TWIS,GCC and Iraq,6,Recon,Sova,Harbor,Gekko,16,205,232,108,0.88,1.34,182,12.8,14.5,6.7,Arabic,,
Portugal,Fragger,SAW,SAW,Portugal,1,Recon,KAY/O,Sage,Skye,22,336,291,208,1.15,1.86,220,15.2,13.2,9.4,Portuguese,Mirandese,
Italy,FrancyBald,LONETEAM,LONE,Italy,6,Smoker,Omen,Viper,,14,140,229,87,0.61,0.99,142,10.0,16.3,6.2,Italian,,
Poland,Freyy,Zero Tenacity,Z10,East EMEA,8,Smoker,Omen,Astra,Brimstone,19,320,283,114,1.13,1.53,216,16.8,14.8,6.0,Polish,,
Germany,GENETICZZ,Permitta Unicorns,PXU,DACH,8,Anchor,Cypher,Killjoy,Clove,8,104,123,15,0.84,0.96,185,13.0,15.3,1.8,German,,
Kuwait,GLiMPSE,Unity Esports,UNT,GCC and Iraq,2,Smoker,Omen,Cypher,Brimstone,10,177,149,51,1.18,1.53,230,17.7,14.9,5.1,Arabic,,
Egypt,Getoxic,Team Occupy,OPY,Levant and North Africa,6,Flash,Breach,Brimstone,KAY/O,29,313,420,260,0.74,1.36,158,10.7,14.4,8.9,Arabic,,
Turkey,Gloomy,HOWL Esports,HOWL,Turkey,2,Flash,Gekko,Viper,Sova,34,391,487,251,0.8,1.31,160,11.5,14.3,7.3,Turkish,,
France,Goaster,Mandatory,MDR,France,4,Entry,Raze,Jett,Yoru,18,300,281,83,1.06,1.36,234,16.6,15.6,4.6,French,,
Portugal,GrTw,SAW,SAW,Portugal,1,Anchor,Killjoy,Cypher,Viper,22,367,257,113,1.42,1.86,232,16.6,11.6,5.1,Portuguese,Mirandese,
Slovenia,Grmekista,Diamant Esports,DIA,East EMEA,2,Lurker,Astra,Killjoy,Deadlock,39,537,530,260,1.01,1.5,187,13.7,13.5,6.6,Slovenian,,
Spain,Guardy,Barça eSports,BAR,Spain,1,Flash,Skye,Gekko,KAY/O,24,358,327,169,1.09,1.61,202,14.9,13.6,7.0,Spanish,,
Egypt,Gunner,top gz,TOPG,Levant and North Africa,7,Anchor,Killjoy,Cypher,,22,268,317,66,0.84,1.05,171,12.1,14.4,3.0,Arabic,,
Portugal,H4te,GTZ Esports,GTZ,Portugal,5,Smoker,Omen,Viper,,14,205,204,91,1.0,1.45,184,14.6,14.5,6.5,Portuguese,Mirandese,
Russia,HEMMORJAY,Skulls Esports,SKUL,Levant and North Africa,8,Entry,Jett,Raze,Chamber,24,229,373,69,0.61,0.79,152,9.5,15.5,2.8,Russian,,
Germany,Happen,Permitta Unicorns,PXU,DACH,8,Recon,Fade,Sova,Gekko,12,199,186,89,1.06,1.54,200,16.5,15.5,7.4,German,,
Italy,HearthBeat,SweetNSour,SNS,North EMEA,2,Smoker,Omen,Viper,Brimstone,26,360,391,235,0.92,1.52,179,13.8,15.0,9.0,Italian,,
France,Hiiro,GTZ Esports,GTZ,Portugal,5,Anchor,Cypher,,,14,220,213,69,1.03,1.35,198,15.7,15.2,4.9,French,,
Czechia,Hitch,ESC Gaming,ESC,East EMEA,10,Flash,KAY/O,Breach,Brimstone,22,288,372,265,0.77,1.48,182,13.0,16.9,12.0,Czech,,
Portugal,HolyM0Ly,Ex0Tik Gaming,EX0,Portugal,3,Anchor,Killjoy,,,2,33,33,9,1.0,1.27,219,16.5,16.5,4.5,Portuguese,Mirandese,
France,HyP,Mandatory,MDR,France,4,Recon,Gekko,Sova,Fade,26,313,339,160,0.92,1.39,161,12.0,13.0,6.1,French,,
Italy,Infamous,RTZN,RTZN,Italy,7,Smoker,Omen,,,1,6,17,5,0.35,0.64,127,6.0,17.0,5.0,Italian,,
Russia,Ivan4ezz,VX300 Gaming,VX3,Italy,5,Flash,Gekko,Skye,Sova,13,159,173,74,0.91,1.34,183,12.2,13.3,5.6,Italian,Russian,
Turkey,Izzy,SuperMassive Esports,SUP,Turkey,6,Entry,Raze,Neon,Jett,29,609,432,118,1.4,1.68,272,21.0,14.8,4.0,Turkish,,
Russia,JAMTER,top gz,TOPG,Levant and North Africa,7,Recon,Sova,Gekko,Fade,5,58,67,19,0.86,1.14,178,11.6,13.4,3.8,Russian,,
Spain,JKG,Imperium Gaming,IMP,Spain,8,Smoker,Omen,Viper,,4,57,60,25,0.95,1.36,176,14.2,15.0,6.2,Spanish,,
Turkey,JN3v1cEEE,Eternal Fire,EF,Turkey,9,Smoker,Omen,Viper,Astra,20,255,303,154,0.84,1.34,182,12.7,15.1,7.7,Turkish,,
Russia,Jady,ZERANCE,ZER,France,3,Anchor,Cypher,Viper,Killjoy,26,394,353,127,1.11,1.47,209,15.1,13.5,4.8,French,Russian,
United Kingdom,Jaf,Formulation Gaming,FMG,North EMEA,7,Smoker,Omen,Brimstone,Viper,17,220,268,111,0.82,1.23,164,12.9,15.7,6.5,English,,
