country,ign,team_name_full,shorthand,sub_region,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
Germany,Shazeon,Eintracht Frankfurt,SGE,DACH,3,Anchor,Cypher,Viper,Killjoy,29,486,456,181,1.06,1.46,203,16.7,15.7,6.2,German,,
Egypt,Shniider,Team RA'AD,RAAD,Levant and North Africa,2,Smoker,Clove,Gekko,Viper,37,626,635,244,0.98,1.37,224,16.9,17.1,6.5,Arabic,,
Belarus,SimonD4rk,R8 Esports,R8,Levant and North Africa,1,Flex,Raze,Yoru,Reyna,40,698,563,164,1.23,1.53,247,17.4,14.0,4.1,Russian,Belarusian,
Tunisia,Slacherj,Skulls Esports,SKUL,Levant and North Africa,8,Recon,Sova,Skye,Raze,15,175,232,50,0.75,0.96,184,11.6,15.4,3.3,Arabic,,
Portugal,Slaxx,FUZOS,FUZO,Portugal,7,Flash,Gekko,Breach,,6,97,101,41,0.96,1.36,189,16.1,16.8,6.8,Portuguese,Mirandese,
Norway,Snaptor,Axolotl,AXL,Italy,8,Entry,Reyna,,,2,21,31,4,0.67,0.8,186,10.5,15.5,2.0,Italian,Norwegian,
Kuwait,SnipKw,Unity Esports,UNT,GCC and Iraq,2,Smoker,Omen,Gekko,Brimstone,35,537,529,283,1.01,1.55,207,15.3,15.1,8.0,Arabic,,
Finland,Snowi,OnlyFins,OF,North EMEA,4,Flash,Breach,KAY/O,Skye,27,354,380,278,0.93,1.66,183,13.1,14.0,10.2,Finnish,Swedish,
France,SoOn,Mandatory,MDR,France,4,Anchor,Cypher,Killjoy,,19,249,273,84,0.91,1.21,172,13.1,14.3,4.4,French,,
Turkey,SouhcNi,SuperMassive Esports,SUP,Turkey,6,Recon,Sova,Gekko,Fade,29,325,414,198,0.78,1.26,153,11.2,14.2,6.8,Turkish,,
Russia,Sp1ke,Cicadas Gaming,CG,France,5,Entry,Jett,Raze,Neon,18,266,273,72,0.97,1.23,213,14.7,15.1,4.0,French,Russian,
Lebanon,SpY,Team Falcons,FLC,GCC and Iraq,1,Recon,Skye,Gekko,Fade,33,469,380,220,1.23,1.81,200,14.2,11.5,6.6,Arabic,,
Germany,Spocki,XPERION NXT,NXT,DACH,9,Flash,KAY/O,Gekko,Skye,20,263,341,147,0.77,1.2,165,13.1,17.0,7.3,German,,
Poland,Stix,Incognito,INCO,East EMEA,9,Smoker,Omen,Viper,Skye,21,310,306,115,1.01,1.38,200,14.7,14.5,5.4,Polish,,
Poland,Szalony,Incognito,INCO,East EMEA,9,Flex,Iso,Jett,,3,33,48,10,0.68,0.89,170,11.0,16.0,3.3,Polish,,
Hungary,Szimpli,DVM,DVM,France,8,Entry,Phoenix,Jett,Raze,19,294,306,84,0.96,1.23,216,15.4,16.1,4.4,French,Hungarian,
United Kingdom,T0BA,Requiem,RQM,North EMEA,3,Anchor,Cypher,Killjoy,Brimstone,27,399,386,148,1.03,1.41,198,14.7,14.2,5.4,English,,
Italy,Tag,DSYRE,DSY,Italy,1,Lurker,Viper,Killjoy,Cypher,19,269,233,117,1.15,1.65,201,14.1,12.2,6.1,Italian,,
Poland,TajReX,trashcan,TR,East EMEA,4,Anchor,Killjoy,Viper,Raze,34,532,513,164,1.03,1.35,226,15.6,15.0,4.8,Polish,,
Ireland,Tempo,SweetNSour,SNS,North EMEA,2,Anchor,Killjoy,Cypher,Viper,25,377,380,72,0.99,1.18,189,15.0,15.2,2.8,English,,
Spain,TiTaN,FIVE Media Clan,FIVE,Spain,5,Recon,Sova,Viper,KAY/O,11,138,150,69,0.92,1.38,179,12.5,13.6,6.2,Spanish,,
Russia,Tian,FUZOS,FUZO,Portugal,7,Entry,Raze,Jett,,3,34,46,7,0.73,0.89,167,11.3,15.3,2.3,Russian,,
United Kingdom,Ticey,SweetNSour,SNS,North EMEA,2,Entry,Raze,Jett,Yoru,29,550,465,124,1.18,1.44,245,18.9,16.0,4.2,English,,
France,TiduS,Akroma,AKR,France,6,Lurker,Omen,Killjoy,Astra,18,245,284,87,0.86,1.16,172,13.6,15.7,4.8,French,,
Saudi Arabia,Titanjr,Underground Gaming,UG,GCC and Iraq,3,Smoker,Viper,Omen,Fade,25,347,367,158,0.94,1.37,206,13.8,14.6,6.3,Arabic,,
Turkey,Toronto,Imperium Gaming,IMP,Spain,8,Entry,Raze,Jett,,2,17,29,6,0.58,0.79,144,8.5,14.5,3.0,Spanish,Turkish,
Turkey,Touven,Galatasaray Esports,GS,Turkey,4,Flex,Yoru,KAY/O,Raze,27,399,428,215,0.93,1.43,187,14.7,15.8,7.9,Turkish,,
Turkey,Turko,Fire Flux Esports,FF,Turkey,5,Lurker,Cypher,Killjoy,Omen,26,393,374,152,1.05,1.45,191,15.1,14.3,5.8,Turkish,,
Poland,UNFAKE,ZERANCE,ZER,France,3,Recon,Sova,Skye,Gekko,26,368,346,153,1.06,1.5,188,14.1,13.3,5.8,French,Polish,
Portugal,VTaguT,FALKE ESPORTS,FLK,Spain,6,Smoker,KAY/O,Omen,Viper,17,198,264,117,0.75,1.19,168,11.6,15.5,6.8,Spanish,Portuguese,Mirandese
Saudi Arabia,Veenx,Vision Esports,VIS,GCC and Iraq,8,Flash,Breach,Sage,Gekko,21,231,327,159,0.7,1.19,156,11.0,15.5,7.5,Arabic,,
Turkey,VenTT,HOWL Esports,HOWL,Turkey,2,Smoker,Omen,Harbor,Brimstone,34,522,514,312,1.01,1.62,197,15.3,15.1,9.1,Turkish,,
France,Veqaj,ZERANCE,ZER,France,3,Flash,Viper,Breach,Skye,26,405,324,217,1.25,1.91,213,15.5,12.4,8.3,French,,
Germany,Vince,CGN Esports,CGN,EMEA Playins,1,Smoker,Omen,Astra,Brimstone,10,170,131,69,1.29,1.82,218,17.0,13.1,6.9,German,,
Russia,Vitie,Apinaorkesteri,APE,North EMEA,8,Smoker,Omen,Viper,Brimstone,19,300,299,164,1.0,1.55,214,15.7,15.7,8.6,Russian,,
Spain,Vorwenn,Barça eSports,BAR,Spain,1,Lurker,Astra,Cypher,Sova,24,305,331,166,0.92,1.42,170,12.7,13.7,6.9,Spanish,,
Turkey,VuexLex,HGE Esports,HE,Italy,4,Entry,Jett,Raze,,12,183,189,40,0.96,1.17,206,15.2,15.7,3.3,Italian,Turkish,
Finland,Vuubit,Acend,ACE,East EMEA,3,Recon,KAY/O,,,1,8,17,14,0.47,1.29,132,8.0,17.0,14.0,Finnish,Swedish,
Estonia,WACKIE,DSYRE,DSY,Italy,1,Flash,KAY/O,Gekko,Viper,19,325,221,172,1.47,2.24,234,17.1,11.6,9.0,Italian,Estonian,
Portugal,Waer,FUZOS,FUZO,Portugal,7,Smoker,Viper,Omen,Brimstone,6,97,90,31,1.07,1.42,220,16.1,15.0,5.1,Portuguese,Mirandese,
United Kingdom,Waken,Metizport,MZP,North EMEA,6,Smoker,Omen,Jett,Viper,11,177,189,83,0.93,1.37,194,16.0,17.1,7.5,English,,
Czechia,WanZeru,B8 Esports,B8,East EMEA,6,Entry,Raze,Neon,Jett,27,485,457,95,1.06,1.26,245,17.9,16.9,3.5,Czech,,
Turkey,Wasp,Eternal Fire,EF,Turkey,9,Recon,Sova,Iso,Gekko,12,153,193,60,0.79,1.1,170,12.7,16.0,5.0,Turkish,,
Belarus,Winteryrook,R8 Esports,R8,Levant and North Africa,1,Smoker,Viper,Sage,Astra,40,654,553,298,1.18,1.72,226,16.3,13.8,7.4,Russian,Belarusian,
France,Wissite,NXT,NXT,North EMEA,5,Anchor,Cypher,,,2,23,30,12,0.76,1.16,153,11.5,15.0,6.0,French,,
Spain,Ximy,FIVE Media Clan,FIVE,Spain,5,Flash,KAY/O,Breach,,10,136,141,105,0.96,1.7,178,13.6,14.1,10.5,Spanish,,
Wales,YaBoiLewis,FOKUS,FKS,DACH,4,Recon,KAY/O,Raze,Skye,30,449,422,206,1.06,1.55,214,14.9,14.0,6.8,Welsh,English,
Egypt,Yassien,Team RA'AD,RAAD,Levant and North Africa,2,Entry,Raze,Gekko,Jett,37,611,552,162,1.1,1.4,219,16.5,14.9,4.3,Arabic,,
Turkey,Yigox,Fenerbahçe Esports,FB,Turkey,10,Anchor,Cypher,Sage,Sova,16,194,244,55,0.79,1.02,154,12.1,15.2,3.4,Turkish,,
France,Yohpa,Cicadas Gaming,CG,France,5,Flex,Yoru,Sova,Sage,18,278,263,95,1.05,1.41,205,15.4,14.6,5.2,French,,
Spain,YuNo,FIVE Media Clan,FIVE,Spain,5,Smoker,Omen,Viper,Gekko,17,233,248,114,0.93,1.39,193,13.7,14.5,6.7,Spanish,,
France,Yuta,Cicadas Gaming,CG,France,5,Anchor,Cypher,Killjoy,,18,264,268,66,0.98,1.23,190,14.6,14.8,3.6,French,,
Italy,Z3R0,Outplayed,OP,Italy,3,Smoker,Omen,Brimstone,KAY/O,20,336,285,212,1.17,1.92,227,16.8,14.2,10.6,Italian,,
United Kingdom,ZachKappa,Chipi Chapa's,CHCH,East EMEA,5,Anchor,Killjoy,Raze,Cypher,27,392,391,90,1.0,1.23,192,14.5,14.4,3.3,English,,
Egypt,Ziad,DIVIZON,DIV,DACH,6,Entry,Raze,Jett,Yoru,24,378,392,110,0.96,1.24,212,15.7,16.3,4.5,Arabic,,
Saudi Arabia,Zimo,Twisted Minds,TWIS,GCC and Iraq,6,Smoker,Omen,Viper,Brimstone,36,531,502,243,1.05,1.54,188,14.7,13.9,6.7,Arabic,,
Israel,Zneva,NOM Esports,NOM,East EMEA,7,Anchor,Killjoy,Cypher,,23,348,363,88,0.95,1.2,186,15.1,15.7,3.8,Hebrew,,
United Kingdom,aNguiSt,CGN Esports,CGN,EMEA Playins,1,Anchor,Killjoy,Cypher,Deadlock,10,173,112,33,1.54,1.83,219,17.3,11.2,3.3,English,,
Saudi Arabia,adelano,Underground Gaming,UG,GCC and Iraq,3,Lurker,Omen,Gekko,Cypher,18,250,242,127,1.03,1.55,193,13.8,13.4,7.0,Arabic,,
Poland,adm1k,Incognito,INCO,East EMEA,9,Recon,Sova,Viper,Fade,18,232,292,113,0.79,1.18,180,12.8,16.2,6.2,Polish,,
Turkey,aimDLL,Gamax Esports,GMX,Levant and North Africa,5,Anchor,Cypher,Killjoy,Viper,33,598,440,135,1.35,1.66,238,18.1,13.3,4.0,Turkish,,
Germany,al0rante,FOKUS,FKS,DACH,4,Lurker,Cypher,Astra,Viper,30,473,410,113,1.15,1.42,215,15.7,13.6,3.7,German,,
Slovenia,al1en,VX300 Gaming,VX3,Italy,5,Smoker,Omen,Viper,Brimstone,13,172,180,97,0.95,1.49,190,13.2,13.8,7.4,Italian,Slovenian,
Italy,alannn,NOVO Esports,NOVO,Italy,2,Anchor,Killjoy,Cypher,Deadlock,22,302,254,70,1.18,1.46,204,13.7,11.5,3.1,Italian,,
Czechia,alexiiik,GoNext Esports,GN,East EMEA,1,Entry,Jett,Raze,Neon,31,516,462,95,1.11,1.32,225,16.6,14.9,3.0,Czech,,
Kuwait,aljaDi,Fraggerz,FRG,GCC and Iraq,5,Anchor,Killjoy,Jett,Cypher,29,472,450,86,1.04,1.24,218,16.2,15.5,2.9,Arabic,,
Poland,almo,Zero Tenacity,Z10,East EMEA,8,Flex,Raze,Yoru,Viper,22,344,376,84,0.91,1.13,202,15.6,17.0,3.8,Polish,,
Jordan,alvar,Underground Gaming,UG,GCC and Iraq,3,Flash,Viper,Gekko,KAY/O,16,269,243,79,1.1,1.43,228,16.8,15.1,4.9,Arabic,,
Ukraine,arch,B8 Esports,B8,East EMEA,6,Recon,Sova,Fade,Skye,27,320,429,157,0.74,1.11,158,11.8,15.8,5.8,Ukrainian,,
Egypt,avez,NASR Esports,NASR,Levant and North Africa,3,Recon,Viper,Sova,Fade,33,486,401,207,1.21,1.72,211,14.7,12.1,6.2,Arabic,,
Spain,azaziN,Imperium Gaming,IMP,Spain,8,Entry,Raze,Jett,,4,72,68,12,1.05,1.23,232,18.0,17.0,3.0,Spanish,,
Germany,azury,UCAM Esports Club,UCAM,Spain,2,Smoker,Omen,Brimstone,Viper,21,291,255,170,1.14,1.8,194,13.8,12.1,8.0,Spanish,German,
Turkey,baha,İstanbul Wildcats,IW,Turkey,8,Flash,Gekko,Omen,Raze,21,273,338,130,0.8,1.19,178,13.0,16.0,6.1,Turkish,,
Russia,basya,VX300 Gaming,VX3,Italy,5,Anchor,Killjoy,Cypher,Viper,13,190,182,63,1.04,1.39,213,14.6,14.0,4.8,Italian,Russian,
Turkey,batujnax,S2G Esports,S2G,Turkey,7,Entry,Raze,Neon,Omen,24,382,386,163,0.98,1.41,212,15.9,16.0,6.7,Turkish,,
Italy,bipo,NOVO Esports,NOVO,Italy,2,Entry,Jett,Neon,Yoru,22,359,290,88,1.23,1.54,248,16.3,13.1,4.0,Italian,,
Tunisia,bramz,Akroma,AKR,France,6,Flash,Skye,KAY/O,Gekko,18,274,280,86,0.97,1.28,196,15.2,15.5,4.7,French,Arabic,
Portugal,brk,SAW,SAW,Portugal,1,Entry,Jett,Raze,Yoru,22,393,275,95,1.42,1.77,258,17.8,12.5,4.3,Portuguese,Mirandese,
Germany,bucher,FOKUS,FKS,DACH,4,Smoker,Omen,Brimstone,Viper,30,387,378,219,1.02,1.6,182,12.9,12.6,7.3,German,,
Hungary,bzt,Chipi Chapa's,CHCH,East EMEA,5,Recon,Sova,Breach,Fade,27,343,374,198,0.91,1.44,174,12.7,13.8,7.3,Hungarian,,
Turkey,cacan,Fenerbahçe Esports,FB,Turkey,10,Anchor,Killjoy,Cypher,Fade,21,297,316,67,0.93,1.15,196,14.1,15.0,3.1,Turkish,,
Ireland,canefis,Ovation eSports,OVA,DACH,10,Anchor,Killjoy,Cypher,Viper,21,261,311,62,0.83,1.03,172,12.4,14.8,2.9,English,,
Italy,caydeN,DSYRE,DSY,Italy,1,Smoker,Omen,Brimstone,Sage,19,231,237,180,0.97,1.73,177,12.1,12.4,9.4,Italian,,
Russia,chiwa,Acend,ACE,East EMEA,3,Anchor,Cypher,Killjoy,Viper,36,617,504,155,1.22,1.53,214,17.1,14.0,4.3,Russian,,
Egypt,chrollo,Team RA'AD,RAAD,Levant and North Africa,2,Smoker,Omen,Viper,Brimstone,37,511,509,282,1.0,1.55,187,13.8,13.7,7.6,Arabic,,
Russia,chukl9,Apinaorkesteri,APE,North EMEA,8,Recon,Sova,Gekko,Fade,13,171,203,83,0.84,1.25,180,13.1,15.6,6.3,Russian,,
United Kingdom,crr,Requiem,RQM,North EMEA,3,Smoker,Viper,Reyna,Gekko,3,23,46,5,0.5,0.6,99,7.6,15.3,1.6,English,,
Denmark,cullum,Acend,ACE,East EMEA,3,Flex,KAY/O,Reyna,Iso,35,533,566,239,0.94,1.36,199,15.2,16.1,6.8,Danish,English,
Russia,d3ffo,Valiant,VLNT,France,2,Entry,Raze,Jett,Neon,25,434,384,99,1.13,1.38,233,17.3,15.3,3.9,French,Russian,
Turkey,d3mur,Outplayed,OP,Italy,3,Entry,Jett,Raze,,8,148,142,27,1.04,1.23,240,18.5,17.7,3.3,Italian,Turkish,
Saudi Arabia,d7o,Dragons Esports,DRGN,GCC and Iraq,7,Smoker,Omen,Harbor,Gekko,31,408,476,222,0.85,1.32,179,13.1,15.3,7.1,Arabic,,
France,dAkE,Hurricane Of Feathers,HOF,Portugal,6,Smoker,Omen,,,2,13,29,10,0.44,0.79,113,6.5,14.5,5.0,French,,
Turkey,dRKY,İstanbul Wildcats,IW,Turkey,8,Flash,Breach,Harbor,Sova,21,285,304,152,0.93,1.43,179,13.5,14.4,7.2,Turkish,,
Poland,darkosek,Incognito,INCO,East EMEA,9,Smoker,Omen,Breach,Jett,21,270,356,113,0.75,1.07,170,12.8,16.9,5.3,Polish,,
Poland,demek,Incognito,INCO,East EMEA,9,Entry,Raze,Jett,Clove,21,275,346,68,0.79,0.99,181,13.0,16.4,3.2,Polish,,
Turkey,deminatiX,İstanbul Wildcats,IW,Turkey,8,Entry,Jett,Yoru,Raze,21,374,341,75,1.09,1.31,250,17.8,16.2,3.5,Turkish,,
Italy,dok,HGE Esports,HE,Italy,4,Flash,KAY/O,Gekko,Skye,17,194,240,169,0.8,1.51,157,11.4,14.1,9.9,Italian,,
Austria,eNes,Eintracht Frankfurt,SGE,DACH,3,Smoker,Omen,Clove,Astra,29,431,481,230,0.89,1.37,183,14.8,16.5,7.9,German,,
Greece,eXampL,DIVIZON,DIV,DACH,6,Recon,Sova,Skye,Viper,24,395,320,170,1.23,1.76,207,16.4,13.3,7.0,Greek,,
Czechia,eleo,Ovation eSports,OVA,DACH,10,Recon,Sova,Fade,KAY/O,21,232,317,123,0.73,1.11,168,11.0,15.0,5.8,Czech,,
Serbia,elllement,CGN Esports,CGN,EMEA Playins,1,Entry,Jett,Raze,Yoru,10,183,134,30,1.36,1.58,243,18.3,13.4,3.0,Serbian,,
Italy,esc,Axolotl,AXL,Italy,8,Smoker,Viper,,,2,19,31,4,0.61,0.74,159,9.5,15.5,2.0,Italian,,
Italy,eya,Axolotl,AXL,Italy,8,Entry,Jett,,,2,28,33,3,0.84,0.93,231,14.0,16.5,1.5,Italian,,
Russia,f4ngeer,trashcan,TR,East EMEA,4,Entry,Jett,Raze,Gekko,34,619,492,135,1.25,1.53,246,18.2,14.4,3.9,Russian,,
Portugal,fainz,PPP,PPP,Portugal,2,Entry,Raze,Jett,Neon,24,401,342,85,1.17,1.42,246,16.7,14.2,3.5,Portuguese,Mirandese,
Russia,falltw,Gamax Esports,GMX,Levant and North Africa,5,Smoker,Omen,Brimstone,Viper,33,508,497,229,1.02,1.48,211,15.3,15.0,6.9,Russian,,
Portugal,furyan,FTW LEÇA FC,FXL,Portugal,8,Entry,Jett,Iso,Reyna,13,177,231,67,0.76,1.05,186,13.6,17.7,5.1,Portuguese,Mirandese,
Israel,g I L,NOM Esports,NOM,East EMEA,7,Smoker,Omen,,,2,22,34,27,0.64,1.44,142,11.0,17.0,13.5,Hebrew,,
Russia,globeX,Chipi Chapa's,CHCH,East EMEA,5,Flex,Yoru,Raze,Omen,16,256,256,86,1.0,1.33,214,16.0,16.0,5.3,Russian,,
Turkey,glovee,Galakticos,GAL,Turkey,3,Recon,Sova,Gekko,Omen,34,456,507,239,0.89,1.37,172,13.4,14.9,7.0,Turkish,,
Portugal,guedeszy,FTW LEÇA FC,FXL,Portugal,8,Lurker,KAY/O,Killjoy,Astra,6,96,104,39,0.92,1.29,204,16.0,17.3,6.5,Portuguese,Mirandese,
Finland,h1ber,NOVO Esports,NOVO,Italy,2,Anchor,Sage,Breach,Sova,22,304,276,178,1.1,1.74,216,13.8,12.5,8.0,Italian,Finnish,Swedish
Russia,haint,Vision Esports,VIS,GCC and Iraq,8,Recon,Sova,Fade,Breach,13,137,210,68,0.65,0.97,152,10.5,16.1,5.2,Russian,,
Latvia,harambe,Requiem,RQM,North EMEA,3,Entry,Raze,Jett,Omen,29,523,434,117,1.2,1.47,242,18.0,14.9,4.0,Latvian,,
Netherlands,hiro,SuperMassive Esports,SUP,Turkey,6,Lurker,Cypher,Killjoy,Yoru,9,172,125,45,1.37,1.73,242,19.1,13.8,5.0,Turkish,Dutch,
Spain,humanz,FIVE Media Clan,FIVE,Spain,5,Flash,Breach,Gekko,Omen,7,62,116,44,0.53,0.91,132,8.8,16.5,6.2,Spanish,,
Lithuania,hype,Apeks,APK,North EMEA,1,Anchor,Killjoy,Viper,Cypher,22,302,270,77,1.11,1.4,190,13.7,12.2,3.5,Lithuanian,,
Belgium,iDex,Ramboot Club,RBT,Spain,4,Recon,Sova,Cypher,Breach,6,85,95,29,0.89,1.2,169,14.1,15.8,4.8,Spanish,Dutch,French
Saudi Arabia,iFly,Twisted Minds,TWIS,GCC and Iraq,6,Entry,Jett,Raze,Cypher,18,307,285,72,1.07,1.32,223,17.0,15.8,4.0,Arabic,,
Wales,ianto,Requiem,RQM,North EMEA,3,Lurker,Gekko,Viper,Yoru,27,381,376,186,1.01,1.5,192,14.1,13.9,6.8,Welsh,English,
Egypt,iboss,Team Occupy,OPY,Levant and North Africa,6,Smoker,Brimstone,Reyna,,2,25,37,11,0.67,0.97,156,12.5,18.5,5.5,Arabic,,
Finland,iluri,MOUZ,MOUZ,DACH,1,Flash,Breach,Gekko,Skye,38,466,549,282,0.84,1.36,154,12.2,14.4,7.4,Finnish,Swedish,
Russia,insider,KPI Gaming,KPI,EMEA Playins,2,Anchor,Killjoy,Viper,,10,138,136,37,1.01,1.28,192,13.8,13.6,3.7,Russian,,
Turkey,ip0TT,Galakticos,GAL,Turkey,3,Entry,Raze,Jett,Iso,35,626,558,174,1.12,1.43,232,17.8,15.9,4.9,Turkish,,
Portugal,jannyXD,Ramboot Club,RBT,Spain,4,Entry,Jett,Raze,Yoru,21,373,317,84,1.17,1.44,227,17.7,15.0,4.0,Spanish,Portuguese,Mirandese
Poland,jas,Joblife,JL,France,1,Entry,Raze,Jett,Neon,25,399,368,88,1.08,1.32,225,15.9,14.7,3.5,French,Polish,
Turkey,jeyj7y,S2G Esports,S2G,Turkey,7,Recon,Sova,KAY/O,Deadlock,19,247,301,122,0.82,1.22,170,13.0,15.8,6.4,Turkish,,
Ireland,juseu,DVM,DVM,France,8,Entry,Raze,Jett,,11,186,155,30,1.2,1.39,234,16.9,14.0,2.7,French,English,
